"","variable","est","se","t","p","study","dv","level","stat","model","formula","data","lb","ub","print"
"24","0. Wave",1.09280888624954,0.767429168302292,1.4239866444835,0.155500096237662,1,"Negative Traits","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_nt_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 1",-0.692498327907424,2.87811610040651,"(B=1.093; SE=0.767; CI95%=[-0.692,2.878])"
"25","7. Centrist News",-0.040171474096359,0.109250461509188,-0.367700726765173,0.713356543260794,1,"Social Distance","News Domains","Mean","Model 1
Partisan vs. Non-Partisan News","ap_sd_r ~ domain_center_mean_ln + domain_left_mean_ln + domain_right_mean_ln","Study 1",-0.294326052966239,0.213983104773521,"(B=-0.04; SE=0.109; CI95%=[-0.294,0.214])"
"26","8. Liberal News",0.252820469782413,0.161393577312661,1.56648408190764,0.118293023187596,1,"Social Distance","News Domains","Mean","Model 1
Partisan vs. Non-Partisan News","ap_sd_r ~ domain_center_mean_ln + domain_left_mean_ln + domain_right_mean_ln","Study 1",-0.122637135682742,0.628278075247568,"(B=0.253; SE=0.161; CI95%=[-0.123,0.628])"
"27","6. Conservative News",-0.0341672574298516,0.203350024922228,-0.168021899396959,0.866679643166879,1,"Social Distance","News Domains","Mean","Model 1
Partisan vs. Non-Partisan News","ap_sd_r ~ domain_center_mean_ln + domain_left_mean_ln + domain_right_mean_ln","Study 1",-0.507230155593829,0.438895640734125,"(B=-0.034; SE=0.203; CI95%=[-0.507,0.439])"
"28","5. Congenial News",0.170938542834124,0.140242312760168,1.2188799476407,0.223847318420316,1,"Social Distance","News Domains","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln","Study 1",-0.155313863306063,0.497190948974311,"(B=0.171; SE=0.14; CI95%=[-0.155,0.497])"
"29","4. Cross-Cutting News",0.0446545742523696,0.110665747802328,0.403508539355211,0.686861602792252,1,"Social Distance","News Domains","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln","Study 1",-0.212792452876716,0.302101601381455,"(B=0.045; SE=0.111; CI95%=[-0.213,0.302])"
"30","0. Intercept",26.7694582868395,2.44431110156741,10.9517394367982,1.10705760619904e-23,1,"Social Distance","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 1",21.0831403522138,32.4557762214653,"(B=26.769; SE=2.444; CI95%=[21.083,32.456])"
"31","5. Congenial News",-0.0327894014574321,0.252165668407142,-0.130031188085806,0.896629774519103,1,"Social Distance","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 1",-0.619414468062474,0.55383566514761,"(B=-0.033; SE=0.252; CI95%=[-0.619,0.554])"
"32","4. Cross-Cutting News",-0.117044564567669,0.20504869655369,-0.57081350203571,0.568557697448769,1,"Social Distance","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 1",-0.594059163870192,0.359970034734853,"(B=-0.117; SE=0.205; CI95%=[-0.594,0.36])"
"33","3. Partisanship Strength",5.83255176022868,1.21014710463663,4.81970475976143,2.29429076435208e-06,1,"Social Distance","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 1",3.01732861608058,8.64777490437677,"(B=5.833; SE=1.21; CI95%=[3.017,8.648])"
"34","2. Congenial × Partisan",0.127246032722797,0.127389515790963,0.998873666586491,0.318669007456731,1,"Social Distance","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 1",-0.169106296512602,0.423598361958195,"(B=0.127; SE=0.127; CI95%=[-0.169,0.424])"
"35","1. Cross-Cutting × Partisan",0.0960441198228383,0.109906790354273,0.873868843892627,0.382895719582655,1,"Social Distance","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 1",-0.159637308260478,0.351725547906155,"(B=0.096; SE=0.11; CI95%=[-0.16,0.352])"
"36","0. Wave",0.397571334978814,1.10697400614949,0.359151464054453,0.719736982092018,1,"Social Distance","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 1",-2.17763529084553,2.97277796080316,"(B=0.398; SE=1.107; CI95%=[-2.178,2.973])"
"37","7. Centrist News",0.0522008449014376,0.116307245811746,0.448818511152174,0.653887689084906,1,"Social Distance","Political News","Mean","Model 1
Partisan vs. Non-Partisan News","ap_sd_r ~ page_center_mean_ln + page_left_mean_ln + page_right_mean_ln","Study 1",-0.218370269128262,0.322771958931138,"(B=0.052; SE=0.116; CI95%=[-0.218,0.323])"
"38","8. Liberal News",0.16073193601077,0.174124859777612,0.923084367252634,0.356707527238804,1,"Social Distance","Political News","Mean","Model 1
Partisan vs. Non-Partisan News","ap_sd_r ~ page_center_mean_ln + page_left_mean_ln + page_right_mean_ln","Study 1",-0.244343061350536,0.565806933372076,"(B=0.161; SE=0.174; CI95%=[-0.244,0.566])"
"39","6. Conservative News",-0.0125439409414827,0.200997321036684,-0.0624084981669646,0.950279225309184,1,"Social Distance","Political News","Mean","Model 1
Partisan vs. Non-Partisan News","ap_sd_r ~ page_center_mean_ln + page_left_mean_ln + page_right_mean_ln","Study 1",-0.480133631423076,0.455045749540111,"(B=-0.013; SE=0.201; CI95%=[-0.48,0.455])"
"40","5. Congenial News",0.0771390926064059,0.160120862371719,0.48175541565176,0.630330948686047,1,"Social Distance","Political News","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln","Study 1",-0.29535773516163,0.449635920374441,"(B=0.077; SE=0.16; CI95%=[-0.295,0.45])"
"41","4. Cross-Cutting News",0.093386320751931,0.0970062634052333,0.962683413150547,0.336481730164793,1,"Social Distance","Political News","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln","Study 1",-0.132283993889479,0.319056635393341,"(B=0.093; SE=0.097; CI95%=[-0.132,0.319])"
"42","0. Intercept",26.7012269427657,2.46104039588482,10.8495687382514,2.47067107230882e-23,1,"Social Distance","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 1",20.9759908498705,32.426463035661,"(B=26.701; SE=2.461; CI95%=[20.976,32.426])"
"43","5. Congenial News",-0.18332534923142,0.272516558145333,-0.672712698557028,0.501653138153459,1,"Social Distance","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 1",-0.817293664913744,0.450642966450903,"(B=-0.183; SE=0.273; CI95%=[-0.817,0.451])"
"44","4. Cross-Cutting News",0.105862683911431,0.181672579555762,0.582711404056097,0.560529733362089,1,"Social Distance","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 1",-0.316770935309631,0.528496303132492,"(B=0.106; SE=0.182; CI95%=[-0.317,0.528])"
"45","3. Partisanship Strength",5.76691941798054,1.21109605176785,4.76173579260087,3.00007818811753e-06,1,"Social Distance","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 1",2.94948869269116,8.58435014326992,"(B=5.767; SE=1.211; CI95%=[2.949,8.584])"
"46","2. Congenial × Partisan",0.174970470701725,0.144920035690658,1.20735873316518,0.228254656858268,1,"Social Distance","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 1",-0.16216394623316,0.512104887636609,"(B=0.175; SE=0.145; CI95%=[-0.162,0.512])"
"47","1. Cross-Cutting × Partisan",-0.0153006517486053,0.0860817910331558,-0.17774550883487,0.859044009927593,1,"Social Distance","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 1",-0.215556843312215,0.184955539815005,"(B=-0.015; SE=0.086; CI95%=[-0.216,0.185])"
"48","0. Wave",0.305367427667125,1.07672122404255,0.283608626679264,0.776907922247916,1,"Social Distance","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 1",-2.19946070281892,2.81019555815317,"(B=0.305; SE=1.077; CI95%=[-2.199,2.81])"
"49","7. Centrist News",0.0590687547460193,0.0704611350453027,0.838316821153126,0.402076617205617,2,"Social Distance","News Domains","Mean","Model 1
Partisan vs. Non-Partisan News","ap_sd_r ~ domain_center_mean_ln + domain_left_mean_ln + domain_right_mean_ln","Study 2",-0.104848356969125,0.222985866461164,"(B=0.059; SE=0.07; CI95%=[-0.105,0.223])"
"50","8. Liberal News",0.00470235047272647,0.121334926033038,0.0387551270393989,0.969094264101748,2,"Social Distance","News Domains","Mean","Model 1
Partisan vs. Non-Partisan News","ap_sd_r ~ domain_center_mean_ln + domain_left_mean_ln + domain_right_mean_ln","Study 2",-0.277564896751135,0.286969597696588,"(B=0.005; SE=0.121; CI95%=[-0.278,0.287])"
"51","6. Conservative News",-0.124192048406064,0.0490924544116369,-2.5297583894405,0.0115846947445217,2,"Social Distance","News Domains","Mean","Model 1
Partisan vs. Non-Partisan News","ap_sd_r ~ domain_center_mean_ln + domain_left_mean_ln + domain_right_mean_ln","Study 2",-0.238398175358022,-0.00998592145410539,"(B=-0.124; SE=0.049; CI95%=[-0.238,-0.01])"
"52","5. Congenial News",-0.104111252657838,0.0716212023002037,-1.45363732127047,0.146397041258004,2,"Social Distance","News Domains","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln","Study 2",-0.270727084365166,0.0625045790494895,"(B=-0.104; SE=0.072; CI95%=[-0.271,0.063])"
"53","4. Cross-Cutting News",-0.0393003092480925,0.0547203910253704,-0.71820227362541,0.472819801117034,2,"Social Distance","News Domains","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln","Study 2",-0.166598974576646,0.0879983560804614,"(B=-0.039; SE=0.055; CI95%=[-0.167,0.088])"
"54","0. Intercept",47.725078465936,1.64057503171526,29.0904576403545,1.88858088074255e-131,2,"Social Distance","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",43.9085302287007,51.5416267031712,"(B=47.725; SE=1.641; CI95%=[43.909,51.542])"
"55","5. Congenial News",-0.131508699926819,0.142517484097548,-0.922754851866493,0.356384216517552,2,"Social Distance","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",-0.4630539460708,0.200036546217162,"(B=-0.132; SE=0.143; CI95%=[-0.463,0.2])"
"56","4. Cross-Cutting News",0.060452363423327,0.116106977760747,0.520660899019322,0.602732084900787,2,"Social Distance","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",-0.209652857451694,0.330557584298348,"(B=0.06; SE=0.116; CI95%=[-0.21,0.331])"
"57","3. Partisanship Strength",3.17861163292468,0.739309360327775,4.2994337735903,1.90058721480195e-05,2,"Social Distance","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",1.45872087426766,4.89850239158169,"(B=3.179; SE=0.739; CI95%=[1.459,4.899])"
"58","2. Congenial × Partisan",0.0407415227573359,0.0686337495610941,0.593607707838692,0.552924847365257,2,"Social Distance","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",-0.118924454621567,0.200407500136239,"(B=0.041; SE=0.069; CI95%=[-0.119,0.2])"
"59","1. Cross-Cutting × Partisan",-0.0290523346111697,0.0527436543223312,-0.550821420784059,0.581893868940394,2,"Social Distance","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",-0.15175242271307,0.0936477534907304,"(B=-0.029; SE=0.053; CI95%=[-0.152,0.094])"
"60","0. Wave",-3.06020505098809,0.646372570980787,-4.73442900948694,2.55360033360333e-06,2,"Social Distance","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",-4.56389250732756,-1.55651759464863,"(B=-3.06; SE=0.646; CI95%=[-4.564,-1.557])"
"61","7. Centrist News",0.052907660586512,0.0612295526587277,0.864087001931909,0.387771613492601,2,"Social Distance","Political News","Mean","Model 1
Partisan vs. Non-Partisan News","ap_sd_r ~ page_center_mean_ln + page_left_mean_ln + page_right_mean_ln","Study 2",-0.0895335790695909,0.195348900242615,"(B=0.053; SE=0.061; CI95%=[-0.09,0.195])"
"62","8. Liberal News",-0.0426502216584825,0.1312789684625,-0.324882364311582,0.745346028116075,2,"Social Distance","Political News","Mean","Model 1
Partisan vs. Non-Partisan News","ap_sd_r ~ page_center_mean_ln + page_left_mean_ln + page_right_mean_ln","Study 2",-0.348050770847494,0.262750327530529,"(B=-0.043; SE=0.131; CI95%=[-0.348,0.263])"
"63","6. Conservative News",-0.120843413300385,0.056027588084326,-2.1568555319302,0.0312825975780862,2,"Social Distance","Political News","Mean","Model 1
Partisan vs. Non-Partisan News","ap_sd_r ~ page_center_mean_ln + page_left_mean_ln + page_right_mean_ln","Study 2",-0.251183073727993,0.00949624712722261,"(B=-0.121; SE=0.056; CI95%=[-0.251,0.009])"
"64","5. Congenial News",-0.153029528854796,0.0787943863362325,-1.94213745382553,0.0524335403864836,2,"Social Distance","Political News","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln","Study 2",-0.336332681994443,0.0302736242848516,"(B=-0.153; SE=0.079; CI95%=[-0.336,0.03])"
"65","4. Cross-Cutting News",-0.0540300968783705,0.0617787192697195,-0.874574570613557,0.382039788841985,2,"Social Distance","Political News","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln","Study 2",-0.197748889112448,0.0896886953557075,"(B=-0.054; SE=0.062; CI95%=[-0.198,0.09])"
"66","0. Intercept",47.899409832874,1.62177321254505,29.5352084140701,2.4309043028445e-134,2,"Social Distance","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",44.1266011676935,51.6722184980546,"(B=47.899; SE=1.622; CI95%=[44.127,51.672])"
"67","5. Congenial News",-0.148038297704993,0.160724142292379,-0.92107069662062,0.357262274754748,2,"Social Distance","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",-0.521938564433906,0.22586196902392,"(B=-0.148; SE=0.161; CI95%=[-0.522,0.226])"
"68","4. Cross-Cutting News",0.0231126766157012,0.136263983277784,0.169616916075207,0.865349833728284,2,"Social Distance","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",-0.293884751190907,0.34011010442231,"(B=0.023; SE=0.136; CI95%=[-0.294,0.34])"
"69","3. Partisanship Strength",3.23431772776905,0.740112612016654,4.370034607242,1.38800654297721e-05,2,"Social Distance","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",1.51255832625329,4.9560771292848,"(B=3.234; SE=0.74; CI95%=[1.513,4.956])"
"70","2. Congenial × Partisan",0.0324753092358708,0.0776025532926536,0.418482483603348,0.675695012622647,2,"Social Distance","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",-0.148055225636635,0.213005844108377,"(B=0.032; SE=0.078; CI95%=[-0.148,0.213])"
"71","1. Cross-Cutting × Partisan",-0.0123630763408533,0.061206437573938,-0.20198980419206,0.839970699762661,2,"Social Distance","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",-0.154750542268597,0.130024389586891,"(B=-0.012; SE=0.061; CI95%=[-0.155,0.13])"
